"No.","Host","Ip","dst","Protocol"
"79","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"93","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"95","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"97","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"99","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"111","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"113","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"115","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"117","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"119","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"121","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"123","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"125","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"147","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"149","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"157","send.mx.cdnetworks.com","211.233.40.78","sungwonryu1.local","NTP"
"159","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"161","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"163","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"165","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"179","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
